filepath,gender,shape
faces/man/man_11482.jpg,man,"(250, 250, 3)"
faces/man/man_10120.jpg,man,"(250, 250, 3)"
faces/man/man_8748.jpg,man,"(250, 250, 3)"
faces/man/man_9279.jpg,man,"(250, 250, 3)"
faces/man/man_5705.jpg,man,"(250, 250, 3)"
faces/man/man_10869.jpg,man,"(250, 250, 3)"
faces/man/man_11123.jpg,man,"(250, 250, 3)"
faces/man/man_9078.jpg,man,"(250, 250, 3)"
faces/man/man_16831.jpg,man,"(100, 100, 3)"
faces/man/man_11427.jpg,man,"(250, 250, 3)"
faces/man/man_10944.jpg,man,"(250, 250, 3)"
faces/man/man_9374.jpg,man,"(250, 250, 3)"
faces/man/man_527.jpg,man,"(100, 100, 3)"
faces/man/man_15880.jpg,man,"(250, 250, 3)"
faces/man/man_2767.jpg,man,"(100, 100, 3)"
faces/man/man_9004.jpg,man,"(250, 250, 3)"
faces/man/man_8599.jpg,man,"(250, 250, 3)"
faces/man/man_7172.jpg,man,"(250, 250, 3)"
faces/man/man_2239.jpg,man,"(100, 100, 3)"
faces/man/man_5038.jpg,man,"(250, 250, 3)"
faces/man/man_8985.jpg,man,"(250, 250, 3)"
faces/man/man_11749.jpg,man,"(250, 250, 3)"
faces/man/man_3082.jpg,man,"(100, 100, 3)"
faces/man/man_17673.jpg,man,"(100, 100, 3)"
faces/man/man_7368.jpg,man,"(250, 250, 3)"
faces/man/man_9340.jpg,man,"(250, 250, 3)"
faces/man/man_7194.jpg,man,"(250, 250, 3)"
faces/man/man_16394.jpg,man,"(100, 100, 3)"
faces/man/man_6435.jpg,man,"(250, 250, 3)"
faces/man/man_1988.jpg,man,"(100, 100, 3)"
faces/man/man_3342.jpg,man,"(100, 100, 3)"
faces/man/man_877.jpg,man,"(100, 100, 3)"
faces/man/man_1426.jpg,man,"(100, 100, 3)"
faces/man/man_7720.jpg,man,"(100, 100, 3)"
faces/man/man_8169.jpg,man,"(250, 250, 3)"
faces/man/man_12260.jpg,man,"(250, 250, 3)"
faces/man/man_1515.jpg,man,"(100, 100, 3)"
faces/man/man_7431.jpg,man,"(250, 250, 3)"
faces/man/man_13960.jpg,man,"(250, 250, 3)"
faces/man/man_4283.jpg,man,"(250, 250, 3)"
faces/man/man_6400.jpg,man,"(250, 250, 3)"
faces/man/man_2276.jpg,man,"(100, 100, 3)"
faces/man/man_3628.jpg,man,"(100, 100, 3)"
faces/man/man_4837.jpg,man,"(250, 250, 3)"
faces/man/man_3102.jpg,man,"(250, 250, 3)"
faces/man/man_1283.jpg,man,"(100, 100, 3)"
faces/man/man_9070.jpg,man,"(250, 250, 3)"
faces/man/man_10973.jpg,man,"(250, 250, 3)"
faces/man/man_6772.jpg,man,"(250, 250, 3)"
faces/man/man_12780.jpg,man,"(250, 250, 3)"
faces/man/man_15096.jpg,man,"(100, 100, 3)"
faces/man/man_2563.jpg,man,"(100, 100, 3)"
faces/man/man_6298.jpg,man,"(250, 250, 3)"
faces/man/man_6488.jpg,man,"(250, 250, 3)"
faces/man/man_16772.jpg,man,"(100, 100, 3)"
faces/man/man_5976.jpg,man,"(250, 250, 3)"
faces/man/man_5815.jpg,man,"(250, 250, 3)"
faces/man/man_8146.jpg,man,"(250, 250, 3)"
faces/man/man_11949.jpg,man,"(100, 100, 3)"
faces/man/man_3190.jpg,man,"(100, 100, 3)"
faces/man/man_6495.jpg,man,"(250, 250, 3)"
faces/man/man_5942.jpg,man,"(100, 100, 3)"
faces/man/man_15089.jpg,man,"(250, 250, 3)"
faces/man/man_1493.jpg,man,"(100, 100, 3)"
faces/man/man_12585.jpg,man,"(250, 250, 3)"
faces/man/man_17265.jpg,man,"(100, 100, 3)"
faces/man/man_3773.jpg,man,"(100, 100, 3)"
faces/man/man_5561.jpg,man,"(100, 100, 3)"
faces/man/man_7600.jpg,man,"(250, 250, 3)"
faces/man/man_10554.jpg,man,"(100, 100, 3)"
faces/man/man_8695.jpg,man,"(250, 250, 3)"
faces/man/man_75.jpg,man,"(100, 100, 3)"
faces/man/man_10832.jpg,man,"(250, 250, 3)"
faces/man/man_13560.jpg,man,"(250, 250, 3)"
faces/man/man_775.jpg,man,"(100, 100, 3)"
faces/man/man_1673.jpg,man,"(100, 100, 3)"
faces/man/man_11285.jpg,man,"(250, 250, 3)"
faces/man/man_8566.jpg,man,"(100, 100, 3)"
faces/man/man_10727.jpg,man,"(250, 250, 3)"
faces/man/man_10579.jpg,man,"(100, 100, 3)"
faces/man/man_8694.jpg,man,"(250, 250, 3)"
faces/man/man_7022.jpg,man,"(250, 250, 3)"
faces/man/man_11453.jpg,man,"(250, 250, 3)"
faces/man/man_17542.jpg,man,"(100, 100, 3)"
faces/man/man_3965.jpg,man,"(250, 250, 3)"
faces/man/man_374.jpg,man,"(100, 100, 3)"
faces/man/man_923.jpg,man,"(100, 100, 3)"
faces/man/man_1534.jpg,man,"(100, 100, 3)"
faces/man/man_16110.jpg,man,"(100, 100, 3)"
faces/man/man_12022.jpg,man,"(250, 250, 3)"
faces/man/man_17442.jpg,man,"(100, 100, 3)"
faces/man/man_3659.jpg,man,"(100, 100, 3)"
faces/man/man_5164.jpg,man,"(250, 250, 3)"
faces/man/man_16056.jpg,man,"(100, 100, 3)"
faces/man/man_3612.jpg,man,"(100, 100, 3)"
faces/man/man_1704.jpg,man,"(100, 100, 3)"
faces/man/man_12330.jpg,man,"(250, 250, 3)"
faces/man/man_5450.jpg,man,"(100, 100, 3)"
faces/man/man_12828.jpg,man,"(250, 250, 3)"
faces/man/man_13439.jpg,man,"(250, 250, 3)"
faces/man/man_7614.jpg,man,"(250, 250, 3)"
faces/man/man_16645.jpg,man,"(100, 100, 3)"
faces/man/man_6580.jpg,man,"(250, 250, 3)"
faces/man/man_15567.jpg,man,"(250, 250, 3)"
faces/man/man_2526.jpg,man,"(100, 100, 3)"
faces/man/man_8106.jpg,man,"(250, 250, 3)"
faces/man/man_7752.jpg,man,"(250, 250, 3)"
faces/man/man_3707.jpg,man,"(100, 100, 3)"
faces/man/man_2956.jpg,man,"(100, 100, 3)"
faces/man/man_5671.jpg,man,"(250, 250, 3)"
faces/man/man_16626.jpg,man,"(100, 100, 3)"
faces/man/man_4720.jpg,man,"(250, 250, 3)"
faces/man/man_3186.jpg,man,"(100, 100, 3)"
faces/man/man_4114.jpg,man,"(250, 250, 3)"
faces/man/man_626.jpg,man,"(100, 100, 3)"
faces/man/man_3339.jpg,man,"(100, 100, 3)"
faces/man/man_860.jpg,man,"(100, 100, 3)"
faces/man/man_15928.jpg,man,"(100, 100, 3)"
faces/man/man_2920.jpg,man,"(100, 100, 3)"
faces/man/man_4416.jpg,man,"(250, 250, 3)"
faces/man/man_11622.jpg,man,"(250, 250, 3)"
faces/man/man_2407.jpg,man,"(100, 100, 3)"
faces/man/man_4280.jpg,man,"(250, 250, 3)"
faces/man/man_10993.jpg,man,"(250, 250, 3)"
faces/man/man_9121.jpg,man,"(250, 250, 3)"
faces/man/man_5681.jpg,man,"(250, 250, 3)"
faces/man/man_8214.jpg,man,"(100, 100, 3)"
faces/man/man_5269.jpg,man,"(250, 250, 3)"
faces/man/man_10251.jpg,man,"(250, 250, 3)"
faces/man/man_3296.jpg,man,"(100, 100, 3)"
faces/man/man_14126.jpg,man,"(250, 250, 3)"
faces/man/man_8046.jpg,man,"(250, 250, 3)"
faces/man/man_3512.jpg,man,"(100, 100, 3)"
faces/man/man_10534.jpg,man,"(250, 250, 3)"
faces/man/man_1026.jpg,man,"(100, 100, 3)"
faces/man/man_2836.jpg,man,"(250, 250, 3)"
faces/man/man_16634.jpg,man,"(100, 100, 3)"
faces/man/man_9954.jpg,man,"(250, 250, 3)"
faces/man/man_13403.jpg,man,"(250, 250, 3)"
faces/man/man_4251.jpg,man,"(250, 250, 3)"
faces/man/man_2591.jpg,man,"(100, 100, 3)"
faces/man/man_5490.jpg,man,"(250, 250, 3)"
faces/man/man_16736.jpg,man,"(100, 100, 3)"
faces/man/man_4568.jpg,man,"(250, 250, 3)"
faces/man/man_1224.jpg,man,"(100, 100, 3)"
faces/man/man_10797.jpg,man,"(250, 250, 3)"
faces/man/man_15151.jpg,man,"(250, 250, 3)"
faces/man/man_13058.jpg,man,"(250, 250, 3)"
faces/man/man_13029.jpg,man,"(250, 250, 3)"
faces/man/man_2924.jpg,man,"(100, 100, 3)"
faces/man/man_17582.jpg,man,"(100, 100, 3)"
faces/man/man_12355.jpg,man,"(250, 250, 3)"
faces/man/man_6709.jpg,man,"(100, 100, 3)"
faces/man/man_6547.jpg,man,"(100, 100, 3)"
faces/man/man_7892.jpg,man,"(250, 250, 3)"
faces/man/man_14317.jpg,man,"(250, 250, 3)"
faces/man/man_16073.jpg,man,"(100, 100, 3)"
faces/man/man_13919.jpg,man,"(250, 250, 3)"
faces/man/man_8597.jpg,man,"(250, 250, 3)"
faces/man/man_10764.jpg,man,"(100, 100, 3)"
faces/man/man_16909.jpg,man,"(100, 100, 3)"
faces/man/man_4631.jpg,man,"(250, 250, 3)"
faces/man/man_3989.jpg,man,"(250, 250, 3)"
faces/man/man_1994.jpg,man,"(100, 100, 3)"
faces/man/man_7645.jpg,man,"(100, 100, 3)"
faces/man/man_8525.jpg,man,"(250, 250, 3)"
faces/man/man_4870.jpg,man,"(100, 100, 3)"
faces/man/man_9927.jpg,man,"(250, 250, 3)"
faces/man/man_12097.jpg,man,"(100, 100, 3)"
faces/man/man_14626.jpg,man,"(250, 250, 3)"
faces/man/man_1846.jpg,man,"(100, 100, 3)"
faces/man/man_15309.jpg,man,"(250, 250, 3)"
faces/man/man_16583.jpg,man,"(100, 100, 3)"
faces/man/man_2429.jpg,man,"(100, 100, 3)"
faces/man/man_14599.jpg,man,"(250, 250, 3)"
faces/man/man_12086.jpg,man,"(250, 250, 3)"
faces/man/man_2950.jpg,man,"(100, 100, 3)"
faces/man/man_16993.jpg,man,"(100, 100, 3)"
faces/man/man_12581.jpg,man,"(250, 250, 3)"
faces/man/man_11020.jpg,man,"(250, 250, 3)"
faces/man/man_2952.jpg,man,"(100, 100, 3)"
faces/man/man_567.jpg,man,"(100, 100, 3)"
faces/man/man_3293.jpg,man,"(100, 100, 3)"
faces/man/man_9855.jpg,man,"(250, 250, 3)"
faces/man/man_10030.jpg,man,"(250, 250, 3)"
faces/man/man_3682.jpg,man,"(100, 100, 3)"
faces/man/man_14218.jpg,man,"(250, 250, 3)"
faces/man/man_16376.jpg,man,"(100, 100, 3)"
faces/man/man_15231.jpg,man,"(100, 100, 3)"
faces/man/man_10760.jpg,man,"(250, 250, 3)"
faces/man/man_13026.jpg,man,"(250, 250, 3)"
faces/man/man_16630.jpg,man,"(100, 100, 3)"
faces/man/man_13109.jpg,man,"(100, 100, 3)"
faces/man/man_887.jpg,man,"(100, 100, 3)"
faces/man/man_16018.jpg,man,"(100, 100, 3)"
faces/man/man_4753.jpg,man,"(250, 250, 3)"
faces/man/man_16880.jpg,man,"(100, 100, 3)"
faces/man/man_3689.jpg,man,"(100, 100, 3)"
faces/man/man_6286.jpg,man,"(250, 250, 3)"
faces/man/man_13076.jpg,man,"(250, 250, 3)"
faces/man/man_13562.jpg,man,"(250, 250, 3)"
faces/man/man_3546.jpg,man,"(100, 100, 3)"
faces/man/man_6837.jpg,man,"(250, 250, 3)"
faces/man/man_6193.jpg,man,"(250, 250, 3)"
faces/man/man_1163.jpg,man,"(100, 100, 3)"
faces/man/man_9077.jpg,man,"(250, 250, 3)"
faces/man/man_5211.jpg,man,"(250, 250, 3)"
faces/man/man_2770.jpg,man,"(100, 100, 3)"
faces/man/man_15775.jpg,man,"(100, 100, 3)"
faces/man/man_7330.jpg,man,"(250, 250, 3)"
faces/man/man_4465.jpg,man,"(250, 250, 3)"
faces/man/man_2541.jpg,man,"(100, 100, 3)"
faces/man/man_10555.jpg,man,"(250, 250, 3)"
faces/man/man_17619.jpg,man,"(100, 100, 3)"
faces/man/man_2377.jpg,man,"(100, 100, 3)"
faces/man/man_1063.jpg,man,"(100, 100, 3)"
faces/man/man_8072.jpg,man,"(250, 250, 3)"
faces/man/man_14536.jpg,man,"(250, 250, 3)"
faces/man/man_8513.jpg,man,"(250, 250, 3)"
faces/man/man_8776.jpg,man,"(100, 100, 3)"
faces/man/man_14061.jpg,man,"(100, 100, 3)"
faces/man/man_8165.jpg,man,"(100, 100, 3)"
faces/man/man_643.jpg,man,"(100, 100, 3)"
faces/man/man_10228.jpg,man,"(250, 250, 3)"
faces/man/man_9007.jpg,man,"(250, 250, 3)"
faces/man/man_9165.jpg,man,"(250, 250, 3)"
faces/man/man_9090.jpg,man,"(250, 250, 3)"
faces/man/man_14041.jpg,man,"(250, 250, 3)"
faces/man/man_16582.jpg,man,"(100, 100, 3)"
faces/man/man_3430.jpg,man,"(100, 100, 3)"
